time,CPI,wage,equity index dividend yield,equity price index,10 year,3 month
2016/6/15,239.927,15883,2.16,2099.33,1.658,0.26
2016/5/15,239.41,15853.7,2.17,2081.43,1.661,0.34
2016/4/15,238.89,15826.7,2.16,2072.78,1.65,0.22
2016/3/15,237.92,15765.1,2.26,1978.35,1.657,0.21
2016/2/15,237.707,15723,2.3,1939.38,2.195,0.33
2016/1/15,238.107,15741,2.2,2043.94,2.254,0.32
2015/12/15,238.041,15737.7,2.12,2102.63,2.229,0.16
2015/11/15,238.302,15685.3,2.11,2104.05,2.031,0.22
2015/10/15,237.949,15647.6,2.29,1923.82,2.008,0.08
2015/9/15,237.489,15587.4,2.29,1913.85,2.029,-0.01
2015/8/15,237.703,15563.6,2.08,2098.04,2.13,0.08
2015/7/15,237.734,15517.4,2.09,2077.42,2.183,0.08
2015/6/15,237.423,15469.2,2.05,2111.73,2.136,0.01
2015/5/15,236.876,15411.8,2.04,2108.29,2.02,0.01
2015/4/15,236.197,15324.5,2.03,2059.69,1.975,0.01
2015/3/15,235.859,15220.5,1.98,2117.39,2.016,0.03
2015/2/15,235.415,15193.5,2.05,2020.85,2.139,0.02
2015/1/15,234.954,15143.8,2.01,2058.9,2.234,0.02
2014/12/15,236.464,15138,1.98,2053.44,2.244,0.04
2014/11/15,237.261,15118.7,2.01,2017.81,2.369,0.02
2014/10/15,237.651,15061.9,2.07,1946.16,2.381,0.01
2014/9/15,237.51,14985.6,2,2003.37,2.369,0.02
2014/8/15,237.163,14937.8,2.06,1925.15,2.501,0.03
2014/7/15,237.259,14859,2,1973.32,2.514,0.03
2014/6/15,237.016,14798.1,2.04,1924.97,2.507,0.04
2014/5/15,236.803,14713.6,2.06,1883.68,2.716,0.04
2014/4/15,236.495,14642.5,2.01,1885.52,2.752,0.03
2014/3/15,235.897,14588,2.05,1845.73,2.716,0.05
2014/2/15,235.621,14482.9,2.13,1741.89,2.713,0.05
2014/1/15,235.436,14390.7,1.98,1848.36,2.811,0.02
2013/12/15,234.847,14293.9,2.02,1800.9,2.762,0.07
2013/11/15,234.21,14243.8,2.06,1761.64,2.526,0.06
2013/10/15,233.799,14176.3,2.13,1695,2.532,0.04
2013/9/15,233.642,14188.9,2.19,1632.97,2.555,0.02
2013/8/15,233.249,14137.4,2.08,1706.87,1.909,0.03
2013/7/15,232.749,14079.7,2.19,1614.96,1.87,0.04
2013/6/15,232.357,14085.4,2.13,1640.42,1.812,0.04
2013/5/15,231.895,14028.5,2.19,1582.7,1.936,0.04
2013/4/15,231.856,13937.6,2.17,1562.17,1.972,0.05
2013/3/15,232.313,13925.7,2.22,1518.2,1.974,0.07
2013/2/15,233.005,13918.4,2.19,1513.17,1.683,0.11
2013/1/15,231.641,13868.5,2.29,1426.19,1.645,0.07
2012/12/15,231.272,14622.9,2.29,1409.46,1.626,0.05
2012/11/15,231.278,14251.7,2.22,1427.59,1.639,0.08
2012/10/15,231.655,14076,2.22,1444.49,1.625,0.11
2012/9/15,230.987,13955.2,2.25,1406.58,1.614,0.1
2012/8/15,229.844,13837.4,2.28,1375.14,1.717,0.09
2012/7/15,228.475,13808.8,2.19,1365.51,1.723,0.11
2012/6/15,228.506,13836.1,2.34,1278.04,1.705,0.09
2012/5/15,228.722,13805.1,2.1,1405.82,1.993,0.07
2012/4/15,229.286,13801.1,2.03,1419.04,2.035,0.1
2012/3/15,228.894,13744.8,2.08,1374.09,2.007,0.07
2012/2/15,228.377,13675.2,2.12,1324.09,1.973,0.08
2012/1/15,227.86,13567.1,2.21,1257.6,1.978,0.06
2011/12/15,227.223,13472.4,2.2,1244.58,2.021,0.02
2011/11/15,227.169,13363.2,2.23,1218.28,2.102,0.01
2011/10/15,226.75,13359.6,2.45,1099.23,2.062,0.01
2011/9/15,226.597,13345.9,2.21,1204.42,2.129,0.02
2011/8/15,226.106,13358.9,2.06,1286.94,3.026,0.02
2011/7/15,225.395,13337,1.96,1339.67,3.145,0.1
2011/6/15,224.806,13251.4,1.99,1314.55,3.083,0.03
2011/5/15,224.806,13185.1,1.9,1361.22,3.525,0.06
2011/4/15,224.093,13147.9,1.87,1332.41,3.573,0.04
2011/3/15,223.046,13123.2,1.85,1306.33,3.562,0.09
2011/2/15,221.898,13090.6,1.81,1307.59,2.815,0.15
2011/1/15,221.187,13019.1,1.84,1271.87,2.792,0.15
2010/12/15,220.472,12816.4,1.93,1206.07,2.704,0.12
2010/11/15,219.59,12696.3,1.95,1184.38,2.62,0.17
2010/10/15,219.035,12636.5,2.02,1146.24,2.6,0.12
2010/9/15,218.275,12570.6,2.11,1080.29,2.614,0.16
2010/8/15,217.923,12563.2,2.02,1125.86,3.349,0.14
2010/7/15,217.605,12497.8,2.2,1027.37,3.343,0.15
2010/6/15,217.199,12456.7,2.09,1070.71,3.434,0.18
2010/5/15,217.29,12438.5,1.85,1202.26,3.643,0.16
2010/4/15,217.403,12344.8,1.86,1178.1,3.7,0.16
2010/3/15,217.353,12255.3,1.95,1115.71,3.62,0.16
2010/2/15,217.281,12213.3,1.99,1089.19,3.453,0.13
2010/1/15,217.488,12235.9,1.93,1115.1,3.506,0.08
2009/12/15,217.347,12183.5,1.94,1108.86,3.351,0.06
2009/11/15,217.234,12137.2,2.04,1042.88,3.564,0.06
2009/10/15,216.509,12081.1,2.07,1029.85,3.495,0.05
2009/9/15,215.861,12091,2.14,998.04,3.547,0.14
2009/8/15,215.445,12057.9,2.14,1002.63,3.262,0.15
2009/7/15,214.726,12054.2,2.32,923.33,3.238,0.18
2009/6/15,214.79,12096.6,2.39,942.87,3.285,0.19
2009/5/15,213.022,12221.4,2.58,877.52,2.851,0.14
2009/4/15,212.709,12037.3,2.95,811.08,2.728,0.14
2009/3/15,212.495,12000.5,3.47,700.82,2.791,0.21
2009/2/15,212.705,12040.4,3.1,825.44,3.447,0.26
2009/1/15,211.933,12146.5,3,903.25,3.313,0.24
2008/12/15,211.398,12270.1,3.33,816.21,3.442,0.11
2008/11/15,213.153,12407.3,2.83,966.3,3.971,0.01
2008/10/15,216.995,12482.9,2.45,1161.06,3.924,0.44
2008/9/15,218.877,12504,2.22,1282.83,3.94,0.9
2008/8/15,218.69,12496.6,2.25,1260.31,3.899,1.69
2008/7/15,219.016,12608.2,2.23,1284.91,3.914,1.65
2008/6/15,217.463,12756.7,2.04,1385.67,3.906,1.87
2008/5/15,215.208,12989.8,2,1409.34,3.572,1.85
2008/4/15,213.942,12417.1,2.05,1370.18,3.514,1.41
2008/3/15,213.448,12429.3,2.13,1331.34,3.51,1.36
2008/2/15,212.687,12362.4,2.01,1395.42,4.035,1.81
2008/1/15,212.174,12313.6,1.95,1468.35,4.177,1.92
2007/12/15,211.445,12258.4,1.91,1472.42,4.129,3.29
2007/11/15,210.834,12175.1,1.86,1508.44,4.608,3.08
2007/10/15,209.19,12121.5,1.82,1547.03,4.678,3.84
2007/9/15,208.547,12105.6,1.88,1473.99,4.673,3.72
2007/8/15,207.667,12027.4,1.88,1465.81,4.594,3.91
2007/7/15,207.603,12011.5,1.78,1519.43,4.68,4.82
2007/6/15,207.234,11969.3,1.76,1536.34,4.665,4.68
2007/5/15,206.755,11953.9,1.81,1486.3,4.632,4.6
2007/4/15,205.904,11925.5,1.86,1424.55,4.632,4.79
2007/3/15,205.288,11902.1,1.87,1403.17,4.6,4.9
2007/2/15,204.226,11821,1.78,1445.94,4.702,5.01
2007/1/15,203.437,11741.4,1.79,1418.3,4.656,4.99
2006/12/15,203.1,11675.2,1.78,1396.71,4.553,4.89
2006/11/15,202,11584,1.82,1367.81,4.758,4.9
2006/10/15,201.9,11527.9,1.86,1331.32,4.779,4.95
2006/9/15,202.8,11484.4,1.88,1311.01,4.819,4.77
2006/8/15,203.8,11435.8,1.92,1270.92,5.07,4.92
2006/7/15,202.9,11402.6,1.93,1280.19,5.136,4.97
2006/6/15,201.8,11369.6,1.92,1285.71,5.119,4.87
2006/5/15,201.3,11319,1.85,1305.19,4.728,4.74
2006/4/15,200.7,11304.7,1.83,1297.81,4.635,4.65
2006/3/15,199.7,11263,1.84,1291.24,4.532,4.52
2006/2/15,199.4,11216.5,1.83,1282.46,4.523,4.51
2006/1/15,199.3,11154.6,1.84,1248.29,4.463,4.37
2005/12/15,198.1,10939.9,1.8,1264.67,4.508,3.99
2005/11/15,198.1,10878.1,1.87,1202.76,4.362,3.86
2005/10/15,199.1,10826,1.83,1226.7,4.296,3.89
2005/9/15,198.8,10754.9,1.83,1221.59,4.171,3.47
2005/8/15,196.1,10701.9,1.8,1235.35,4.19,3.44
2005/7/15,194.9,10640.3,1.86,1194.44,4.097,3.34
2005/6/15,193.7,10565.7,1.83,1202.27,4.053,3.06
2005/5/15,193.6,10523.7,1.88,1162.16,4.063,2.93
2005/4/15,193.7,10469.3,1.83,1172.92,4.149,2.84
2005/3/15,193.1,10414.2,1.77,1210.41,4.123,2.73
2005/2/15,192.4,10352.4,1.78,1189.41,4.212,2.72
2005/1/15,191.6,10313.5,1.75,1202.08,4.239,2.48
2004/12/15,191.7,10561.3,1.74,1191.37,4.294,2.18
2004/11/15,191.7,10211.7,1.8,1130.51,4.197,2.19
2004/10/15,190.8,10196.6,1.74,1131.5,4.23,1.87
2004/9/15,189.8,10146.1,1.77,1105.91,4.208,1.68
2004/8/15,189.2,10117.9,1.76,1106.62,4.642,1.59
2004/7/15,189.1,10070.3,1.69,1128.94,4.682,1.41
2004/6/15,188.9,10026.5,1.71,1121.2,4.733,1.3
2004/5/15,188.2,9989.2,1.7,1117.49,4.164,1.06
2004/4/15,187.4,9901.5,1.64,1132.17,3.968,0.96
2004/3/15,187.1,9853.4,1.61,1155.96,3.998,0.93
2004/2/15,186.7,9804.8,1.62,1135.26,4.218,0.93
2004/1/15,186.3,9766.9,1.64,1111.92,4.255,0.9
2003/12/15,185.5,9737.2,1.68,1070.12,4.3,0.91
2003/11/15,185,9704.9,1.69,1059.02,4.29,0.91
2003/10/15,184.9,9628.7,1.74,1018.22,4.143,0.93
2003/9/15,185.1,9591.3,1.75,1008.01,4.32,0.93
2003/8/15,184.5,9551.5,1.8,980.15,3.866,0.96
2003/7/15,183.7,9510.8,1.71,982.32,3.604,0.95
2003/6/15,183.1,9478.4,1.71,967,3.566,0.84
2003/5/15,182.9,9429.7,1.8,916.3,3.87,1.08
2003/4/15,183.2,9367.8,1.89,858.48,3.861,1.12
2003/3/15,183.9,9337.4,1.94,834.81,3.813,1.09
2003/2/15,183.6,9290.4,1.89,860.32,3.997,1.18
2003/1/15,182.6,9276.3,1.83,879.82,3.945,1.15
2002/12/15,181.8,9270,1.7,934.53,4.073,1.19
2002/11/15,181.5,9242.7,1.76,900.96,4.24,1.23
2002/10/15,181.2,9219,1.87,847.91,4.146,1.47
2002/9/15,180.8,9190.3,1.74,916.07,4.293,1.6
2002/8/15,180.5,9171.9,1.79,884.66,4.703,1.64
2002/7/15,180,9159.7,1.64,968.65,4.854,1.68
2002/6/15,179.6,9167.6,1.53,1040.68,4.937,1.67
2002/5/15,179.5,9136.3,1.45,1086.46,4.942,1.73
2002/4/15,179.3,9115.8,1.37,1146.54,5.088,1.75
2002/3/15,178.5,9067.7,1.39,1131.78,4.914,1.79
2002/2/15,178,9057.7,1.4,1122.2,4.995,1.77
2002/1/15,177.7,9047.8,1.37,1148.08,5.016,1.76
2001/12/15,177.4,9024.8,1.38,1129.9,4.893,1.73
2001/11/15,177.5,9015.8,1.44,1084.1,4.708,1.78
2001/10/15,177.6,9009,1.51,1038.55,4.827,2.05
2001/9/15,178.1,8978.9,1.38,1133.58,4.931,2.37
2001/8/15,177.4,8993.5,1.29,1215.93,5.028,3.37
2001/7/15,177.4,8999.7,1.26,1236.71,5.129,3.54
2001/6/15,177.7,9001.3,1.24,1260.67,5.143,3.62
2001/5/15,177.3,8996.5,1.24,1266.44,5.114,3.55
2001/4/15,176.4,8995.9,1.36,1145.87,4.988,3.89
2001/3/15,176.1,8997.1,1.25,1241.23,4.948,4.29
2001/2/15,176,8963.2,1.14,1373.47,5.471,4.84
2001/1/15,175.6,8923.2,1.19,1320.28,5.484,4.99
2000/12/15,174.6,8822.8,1.22,1315.23,5.653,5.89
2000/11/15,174.2,8797.2,1.13,1421.22,5.745,6.21
2000/10/15,173.9,8788.2,1.12,1436.23,5.781,6.37
2000/9/15,173.6,8763.1,1.05,1520.77,5.721,6.21
2000/8/15,172.7,8725.9,1.12,1438.1,6.271,6.3
2000/7/15,172.7,8685.8,1.09,1469.54,6.267,6.2
2000/6/15,172.2,8619.5,1.1,1448.81,6.363,5.87
2000/5/15,171.2,8570.4,1.09,1468.25,6.392,5.64
2000/4/15,170.9,8535.9,1.06,1505.97,6.263,5.81
2000/3/15,171,8504.6,1.15,1379.19,6.446,5.88
2000/2/15,170,8446.2,1.14,1409.28,6.272,5.8
2000/1/15,169.3,8385,1.1,1455.22,6.25,5.68
1999/12/15,168.8,8274.2,1.14,1397.72,6.091,5.22
1999/11/15,168.4,8184.1,1.18,1354.12,6.023,5.32
1999/10/15,168.1,8117,1.24,1282.81,5.996,5.13
1999/9/15,167.8,8051,1.19,1331.07,5.993,4.86
1999/8/15,167.1,8023.3,1.2,1328.05,5.672,4.93
1999/7/15,166.7,7972.2,1.13,1380.96,5.643,4.75
1999/6/15,166,7936.6,1.21,1294.26,5.612,4.78
1999/5/15,166,7906,1.16,1354.63,4.977,4.66
1999/4/15,165.9,7882.1,1.2,1293.72,4.946,4.55
1999/3/15,164.8,7858.8,1.25,1236.16,4.989,4.5
1999/2/15,164.7,7842.3,1.21,1273,4.749,4.7
1999/1/15,164.7,7813.3,1.26,1229.23,4.712,4.47
1998/12/15,164.4,7780.5,1.31,1175.28,4.716,4.47
1998/11/15,164.1,7754.7,1.38,1111.6,5.275,4.54
1998/10/15,163.9,7717.1,1.54,986.39,5.098,4.33
1998/9/15,163.5,7684.2,1.52,994.26,5.388,4.36
1998/8/15,163.4,7661,1.35,1112.44,5.552,4.89
1998/7/15,163.2,7620.9,1.3,1148.56,5.544,5.08
1998/6/15,162.8,7588.1,1.37,1090.98,5.583,5.1
1998/5/15,162.6,7550.5,1.33,1121,5.566,5.02
1998/4/15,162.2,7505.6,1.32,1108.15,5.545,4.98
1998/3/15,162,7467.5,1.39,1047.7,5.589,5.16
1998/2/15,162,7420.6,1.44,1001.27,5.881,5.33
1998/1/15,162,7373.5,1.49,970.43,5.957,5.18
1997/12/15,161.8,7303.5,1.47,974.78,6.005,5.35
1997/11/15,161.7,7261.6,1.53,938.99,6.023,5.23
1997/10/15,161.5,7210.7,1.5,955.41,6.083,5.2
1997/9/15,161.2,7165.2,1.59,899.47,6.22,5.11
1997/8/15,160.8,7126.4,1.49,947.14,6.426,5.23
1997/7/15,160.4,7079.7,1.59,891.03,6.539,5.24
1997/6/15,160.2,7042.3,1.67,846.36,6.64,5.17
1997/5/15,159.9,7008.6,1.77,798.53,6.452,4.95
1997/4/15,159.9,6980.5,1.84,759.64,6.545,5.24
1997/3/15,159.8,6969.1,1.75,795.31,6.396,5.34
1997/2/15,159.7,6929.1,1.76,786.73,6.476,5.22
1997/1/15,159.4,6891.3,1.85,740.74,6.462,5.15
1996/12/15,159.1,6839.9,1.79,756.56,6.297,5.15
1996/11/15,158.7,6804.7,1.92,703.77,6.438,5.13
1996/10/15,158.2,6770.9,1.96,689.08,6.825,5.15
1996/9/15,157.7,6749.3,2.08,651.99,6.974,5.04
1996/8/15,157.2,6711.2,2.07,650.02,6.825,5.29
1996/7/15,157,6683.4,1.98,675.88,6.805,5.32
1996/6/15,156.7,6682.5,1.99,667.68,6.871,5.16
1996/5/15,156.4,6638.3,2.03,654.58,6.077,5.17
1996/4/15,156.1,6597.2,2.03,653.73,5.915,5.15
1996/3/15,155.5,6558.9,2.04,644.37,5.78,5.15
1996/2/15,155,6515.9,2.04,638.46,5.762,5.01
1996/1/15,154.7,6451.9,2.1,615.93,5.746,5.05
1995/12/15,153.9,6414.4,2.12,606.98,5.802,5.08
1995/11/15,153.7,6391.2,2.18,584.22,6.254,5.53
1995/10/15,153.5,6369.9,2.2,581.72,6.336,5.51
1995/9/15,153.1,6343.9,2.27,563.84,6.369,5.42
1995/8/15,152.9,6314.9,2.26,559.64,6.496,5.45
1995/7/15,152.6,6292.3,2.3,547.09,6.363,5.58
1995/6/15,152.4,6263.7,2.36,533.49,6.355,5.66
1995/5/15,152.1,6235.1,2.43,514.26,7.284,5.83
1995/4/15,151.8,6221.9,2.47,501.85,7.313,5.88
1995/3/15,151.2,6200.8,2.55,485.65,7.357,5.88
1995/2/15,150.9,6174.4,2.63,470.4,7.759,5.94
1995/1/15,150.5,6149.2,2.68,459.27,7.853,6
1994/12/15,150.1,6103.4,2.72,448.92,7.897,5.7
1994/11/15,149.8,6070.7,2.61,468.42,7.582,5.74
1994/10/15,149.4,6061.2,2.63,461.74,7.455,5.16
1994/9/15,149.3,5998.7,2.55,473.17,7.214,4.79
1994/8/15,149,5966.7,2.62,461.01,7.185,4.68
1994/7/15,148.4,5944.3,2.68,446.2,7.291,4.37
1994/6/15,147.9,5914.4,2.6,457.63,7.18,4.23
1994/5/15,147.5,5910.8,2.62,453.02,6.412,4.28
1994/4/15,147.2,5887,2.64,445.77,6.269,3.96
1994/3/15,147.1,5825.1,2.51,464.44,6.053,3.57
1994/2/15,146.7,5793,2.43,479.62,5.739,3.44
1994/1/15,146.3,5772.1,2.5,465.44,5.81,3.03
1993/12/15,146.3,5885.9,2.5,461.89,5.766,3.01
1993/11/15,146,5687.2,2.47,469.1,5.66,3.14
1993/10/15,145.6,5661.8,2.5,461.29,5.571,3.09
1993/9/15,145,5670.3,2.48,463.15,5.622,2.98
1993/8/15,144.8,5676.1,2.53,450.15,6.066,3.08
1993/7/15,144.5,5654.3,2.55,449.02,6.044,3.11
1993/6/15,144.3,5627.3,2.51,453.83,6.163,3.1
1993/5/15,144.2,5633.4,2.58,442.46,6.114,3.13
1993/4/15,143.8,5618.7,2.53,450.3,6.158,2.95
1993/3/15,143.3,5564.5,2.57,442.01,6.107,2.96
1993/2/15,143.1,5568.3,2.53,442.52,6.367,3
1993/1/15,142.8,5540.1,2.62,435.71,6.518,2.97
1992/12/15,142.3,5668,2.63,430.78,6.628,3.15
1992/11/15,142.1,5459.7,2.71,422.75,6.602,3.34
1992/10/15,141.7,5442.3,2.77,416.29,6.304,3.02
1992/9/15,141.1,5449.6,2.76,416.07,6.46,2.74
1992/8/15,140.8,5463.6,2.67,425.09,7.103,3.23
1992/7/15,140.5,5435.6,2.75,412.88,7.293,3.25
1992/6/15,140.1,5422.7,2.71,417.3,7.44,3.65
1992/5/15,139.7,5390.3,2.75,412.53,7.521,3.8
1992/4/15,139.4,5354.4,2.76,404.23,7.472,3.79
1992/3/15,139.1,5319.2,2.7,412.45,7.435,4.15
1992/2/15,138.6,5296.7,2.7,409.53,7.423,4.02
1992/1/15,138.3,5254.6,2.64,417.09,7.094,3.94
1991/12/15,138.2,5218.7,2.9,381.4,7.405,3.95
1991/11/15,137.8,5161,2.84,391.32,7.662,4.47
1991/10/15,137.2,5139.5,2.84,389.2,7.648,4.95
1991/9/15,137,5122.7,2.81,395.43,7.843,5.26
1991/8/15,136.6,5089.1,2.86,387.12,8.088,5.48
1991/7/15,136.2,5069.3,2.95,377.92,8.14,5.69
1991/6/15,136,5073,2.87,388.06,8.071,5.69
1991/5/15,135.6,5038.1,2.92,380.29,7.908,5.68
1991/4/15,135.1,5017.8,3.03,371.3,7.906,5.7
1991/3/15,134.8,4991.6,3.04,370.47,7.946,5.91
1991/2/15,134.8,4983.2,3.35,343.05,8.173,6.2
1991/1/15,134.7,4976.6,3.5,330.22,8.262,6.38
1990/12/15,134.2,4994.1,3.55,324.1,8.338,6.63
1990/11/15,133.7,4965.2,3.74,307.02,8.645,7.25
1990/10/15,133.4,4959.3,3.65,314.94,8.731,7.36
1990/9/15,132.5,4971.2,3.56,322.56,8.808,7.37
1990/8/15,131.6,4941.8,3.21,355.52,8.541,7.62
1990/7/15,130.5,4938.9,3.15,359.54,8.62,7.73
1990/6/15,129.9,4910.8,3.13,363.16,8.636,8
1990/5/15,129.1,4878.3,3.43,332.25,8.82,8.01
1990/4/15,128.9,4877.6,3.39,338.7,8.58,8.05
1990/3/15,128.6,4838.6,3.43,332.74,8.548,8.05
1990/2/15,128,4818.7,3.46,328.79,8.165,8.05
1990/1/15,127.5,4782.4,3.22,353.4,7.903,8
1989/12/15,126.3,4733,3.22,350.63,7.839,7.85
1989/11/15,125.9,4715.4,3.29,341.2,7.938,7.85
1989/10/15,125.4,4700.1,3.19,350.87,8.15,8.04
1989/9/15,124.8,4661.2,3.15,353.73,8.095,8.14
1989/8/15,124.5,4639.2,3.22,343.75,8.355,8.17
1989/7/15,124.5,4628.6,3.44,319.23,8.531,8.05
1989/6/15,124.1,4601.7,3.38,321.97,8.822,8.26
1989/5/15,123.7,4578.9,3.51,309.12,9.024,8.93
1989/4/15,123.1,4582.2,3.63,296.39,9.073,8.7
