time,CPI,wage,equity index dividend yield,equity price index,10 year,3 month,cpi_1,w_1,ey_1,ed_1,lt_3,st_1,st_2,st_3,st_4
1998/6/15,0.004938272,0.016149983,0.013715647,0.041309535,0.056090152,0.051217057,0.002434336,-0.006305004,-0.033497088,-0.00020046,-0.006432808,-0.000605141,-0.002521818,-0.000100853,-0.000706004
1998/9/15,0.004299754,0.012664567,0.015219261,-0.088654237,0.054122283,0.043758605,-0.002554694,-0.003485416,-0.129963772,0.001503614,-0.006228718,-0.007458452,-0.008063593,-0.00998027,-0.007559305
1998/12/15,0.005504587,0.012532209,0.013114306,0.182065053,0.047345582,0.044866714,-0.000582097,-0.000132358,0.27071929,-0.002104955,-0.00880513,0.001108109,-0.006350343,-0.006955484,-0.008872161
1999/3/15,0.00243309,0.010063621,0.012513025,0.051800422,0.050097705,0.045168961,-0.002449404,-0.002468588,-0.130264631,-0.000601281,-0.005992447,0.000302247,0.001410356,-0.006048096,-0.006653237
1999/6/15,0.007281553,0.00989973,0.012112205,0.047000388,0.056382864,0.047990656,-0.002212475,-0.000163891,-0.004800034,-0.00040082,0.002260581,0.002821695,0.003123942,0.004232051,-0.003226401
1999/9/15,0.010843373,0.014414233,0.011911805,0.028440962,0.060229799,0.048797096,0.002502428,0.004514503,-0.018559426,-0.0002004,0.012884217,0.00080644,0.003628135,0.003930382,0.005038491
1999/12/15,0.005959476,0.027723264,0.011410833,0.050072498,0.061219692,0.052427399,0.016312431,0.013309031,0.021631536,-0.000500972,0.011121987,0.003630303,0.004436743,0.007258438,0.007560685
2000/3/15,0.013033175,0.027845592,0.011511024,-0.013257305,0.064806878,0.059088591,0.016334568,0.000122328,-0.063329803,0.000100191,0.008424014,0.006661192,0.010291495,0.011097935,0.01391963
2000/6/15,0.007017544,0.013510336,0.011010086,0.050478904,0.063967994,0.058987609,0.00250025,-0.014335256,0.063736209,-0.000500938,0.003738195,-0.000100982,0.00656021,0.010190513,0.010996953
2000/9/15,0.008130081,0.016659899,0.01050919,0.049668349,0.057483182,0.062421922,0.006150709,0.003149563,-0.000810555,-0.000500896,-0.00373651,0.003434313,0.003333331,0.009994523,0.013624826
2000/12/15,0.005760369,0.006812658,0.012212408,-0.135155217,0.056796722,0.059189574,-0.00539975,-0.009847241,-0.184823566,0.001703218,-0.008010156,-0.003232348,0.000201965,0.000100983,0.006762175
2001/3/15,0.008591065,0.019755633,0.012513025,-0.056263923,0.049684303,0.04305355,0.007242608,0.012942975,0.078891294,0.000300617,-0.014283691,-0.016136024,-0.019368372,-0.015934059,-0.016035041
2001/6/15,0.009085747,0.000466817,0.012412818,0.015661884,0.051650735,0.036309313,-0.011946001,-0.019288816,0.071925807,-0.000100207,-0.005832447,-0.006744237,-0.022880261,-0.026112609,-0.022678296
2001/9/15,0.002250985,-0.002488529,0.013815876,-0.100811473,0.049512901,0.023746838,-0.016304405,-0.002955346,-0.116473357,0.001403058,-0.007283821,-0.012562475,-0.019306712,-0.035442736,-0.038675084
2001/12/15,-0.003930376,0.005111985,0.013815876,-0.003246352,0.049129783,0.017324953,-0.008703891,0.007600514,0.097565121,0,-0.00055452,-0.006421885,-0.01898436,-0.025728597,-0.041864621
2002/3/15,0.006200676,0.004753568,0.013916107,0.001663864,0.049341503,0.017926714,-0.009162539,-0.000358417,0.004910216,0.000100231,-0.002309232,0.000601761,-0.005820124,-0.018382599,-0.025126836
2002/6/15,0.006162465,0.011017127,0.015319516,-0.080492675,0.049573395,0.016723252,-0.004302389,0.006263559,-0.082156539,0.001403409,6.0494E-05,-0.001203462,-0.000601701,-0.007023586,-0.019586061
2002/9/15,0.006681514,0.002476112,0.017425242,-0.119739017,0.043083765,0.016021343,-0.01494913,-0.008541015,-0.039246342,0.002105726,-0.006046018,-0.000701909,-0.001905371,-0.00130361,-0.007725495
2002/12/15,0.005530973,0.008672187,0.017024095,0.020151298,0.040868401,0.011911805,-0.008351908,0.006196075,0.139890315,-0.000401147,-0.008473102,-0.004109538,-0.004811447,-0.006014909,-0.005413148
2003/3/15,0.011551155,0.007270766,0.01943138,-0.106706045,0.038251286,0.010909904,-0.012160614,-0.001401421,-0.126857343,0.002407285,-0.011322109,-0.001001901,-0.005111439,-0.005813348,-0.00701681
2003/6/15,-0.00435019,0.015100563,0.017124379,0.158347408,0.035766075,0.008405881,-0.002023816,0.007829797,0.265053453,-0.002307001,-0.00731769,-0.002504023,-0.003505924,-0.007615462,-0.008317371
2003/9/15,0.010922993,0.011911293,0.017525533,0.042409514,0.043355707,0.009307209,-0.00561424,-0.00318927,-0.115937894,0.000401154,0.002487306,0.000901328,-0.001602695,-0.002604596,-0.006714134
2003/12/15,0.002160994,0.015211702,0.016823531,0.061616452,0.043154267,0.009106903,-0.001611829,0.003300409,0.019206938,-0.000702002,0.004902981,-0.000200306,0.000701022,-0.001803001,-0.002804902
2004/3/15,0.008625337,0.011933615,0.01612161,0.080215303,0.040113348,0.009307209,-0.004187995,-0.003278087,0.018598851,-0.000701921,0.004347273,0.000200306,0,0.000901328,-0.001602695
2004/6/15,0.009620524,0.01756754,0.017124379,-0.030070245,0.047516923,0.013014088,0.000443161,0.005633925,-0.110285548,0.001002769,0.004161216,0.003706879,0.003907185,0.003706879,0.004608207
2004/9/15,0.004764426,0.01192839,0.01772612,-0.013637174,0.042227733,0.016823531,-0.00579773,-0.00563915,0.016433071,0.000601741,-0.000926534,0.003809443,0.007516322,0.007716628,0.007516322
2004/12/15,0.010010537,0.040922128,0.017425242,0.077275728,0.043093837,0.021839627,0.023496886,0.028993738,0.090912902,-0.000300878,0.002980489,0.005016096,0.008825539,0.012532418,0.012732724
2005/3/15,0.007303078,-0.01392821,0.01772612,0.015981601,0.041371822,0.027362155,-0.03165433,-0.054850338,-0.061294127,0.000300878,-0.006145101,0.005522528,0.010538624,0.014348067,0.018054946
2005/6/15,0.003107198,0.014547445,0.018327922,-0.006724994,0.040667044,0.030678096,-0.003780477,0.028475655,-0.022706595,0.000601802,-0.001560689,0.003315941,0.008838469,0.013854565,0.017664008
2005/9/15,0.026329375,0.017907001,0.018327922,0.016069602,0.041855145,0.034800438,-0.000420921,0.003359556,0.022794596,0,-0.001238692,0.004122342,0.007438283,0.012960811,0.017976907
2005/12/15,-0.003521127,0.017201462,0.018027014,0.035265515,0.045249563,0.040032815,-0.000825552,-0.000705539,0.019195913,-0.000300908,0.003877741,0.005232377,0.009354719,0.01267066,0.018193188
2006/3/15,0.008076729,0.029534091,0.018428228,0.021009433,0.045491374,0.045370467,0.011105863,0.012332629,-0.014256082,0.000401214,0.00482433,0.005337652,0.010570029,0.014692371,0.018008312
2006/6/15,0.010515774,0.009464619,0.019230736,-0.004282705,0.051408679,0.048897908,-0.009766117,-0.020069472,-0.025292138,0.000802508,0.009553534,0.003527441,0.008865093,0.01409747,0.018219812
2006/9/15,0.004955401,0.010097101,0.018829469,0.019677843,0.048383782,0.047889859,-0.008732368,0.000632482,0.023960548,-0.000401267,0.003134219,-0.001008049,0.002519392,0.007857044,0.013089421
2006/12/15,0.00147929,0.016613841,0.017826416,0.065369448,0.045702967,0.049099538,-0.001212575,0.00651674,0.045691605,-0.001003053,0.000211593,0.001209679,0.00020163,0.003729071,0.009066723
2007/3/15,0.010773018,0.019434357,0.018729156,0.004625155,0.046176559,0.049200356,0.000705201,0.002820516,-0.060744293,0.00090274,-0.00523212,0.000100818,0.001310497,0.000302448,0.003829889
2007/6/15,0.009479366,0.005646062,0.017625826,0.094906533,0.046831587,0.046982757,-0.011979764,-0.013788295,0.090281378,-0.00110333,-0.001552195,-0.002217599,-0.002116781,-0.000907102,-0.001915151
2007/9/15,0.006335833,0.011387466,0.018829469,-0.040583465,0.046912211,0.037315439,-0.007442003,0.005741404,-0.135489998,0.001203643,0.001209244,-0.009667318,-0.011884917,-0.011784099,-0.01057442
2007/12/15,0.013896148,0.012622257,0.019130417,-0.001065136,0.041432235,0.032990283,-0.00650816,0.001234791,0.039518329,0.000300948,-0.004744324,-0.004325156,-0.013992474,-0.016210073,-0.016109255
2008/3/15,0.009472913,0.013941461,0.02133783,-0.095815053,0.035202768,0.013615419,-0.007396369,0.001319204,-0.094749917,0.002207413,-0.011628819,-0.019374864,-0.02370002,-0.033367338,-0.035584937
2008/6/15,0.018810202,0.026340985,0.0204347,0.040808509,0.039187278,0.018729156,0.005906285,0.012399524,0.136623562,-0.00090313,-0.007724933,0.005113737,-0.014261127,-0.018586283,-0.028253601
2008/9/15,0.006502256,-0.019809198,0.022241095,-0.074216805,0.039529505,0.009006752,-0.042050293,-0.046150183,-0.115025314,0.001806395,-0.00190273,-0.009722404,-0.004608667,-0.023983531,-0.028308687
2008/12/15,-0.034169876,-0.018706014,0.033392493,-0.363742663,0.034518822,0.001100101,-0.052098507,0.001103184,-0.289525858,0.011151398,-0.000683946,-0.007906651,-0.017629055,-0.012515318,-0.031890182
2009/3/15,0.005189264,-0.021972111,0.034800438,-0.141372931,0.027974964,0.002100368,-0.056772549,-0.003266097,0.222369732,0.001407945,-0.011212314,0.001000267,-0.006906384,-0.016628788,-0.011515051
2009/6/15,0.010800254,0.008008,0.023947632,0.345381125,0.032940009,0.001900301,-0.015939632,0.029980111,0.486754056,-0.010852806,-0.006589496,-0.000200067,0.0008002,-0.007106451,-0.016828855
2009/9/15,0.004986266,-0.00046294,0.021438186,0.058512838,0.035574947,0.001400163,-0.021901126,-0.00847094,-0.286868287,-0.002509446,0.001056125,-0.000500138,-0.000700205,0.000300062,-0.007606589
2009/12/15,0.00688406,0.007650318,0.01943138,0.111037634,0.033603664,0.00060003,-0.011781062,0.008113258,0.052524796,-0.002006806,0.0056287,-0.000800133,-0.001300271,-0.001500338,-0.000500071
2010/3/15,2.76E-05,0.005893216,0.019531705,0.006177516,0.036309313,0.001600213,-0.013638489,-0.001757102,-0.104860118,0.000100325,0.003369304,0.001000183,0.00020005,-0.000300088,-0.000500155
2010/6/15,-0.000708525,0.016433706,0.020936422,-0.040333061,0.034438363,0.00180027,-0.004502716,0.01054049,-0.046510577,0.001404717,-0.001136584,0.000200057,0.00120024,0.000400107,-0.000100031
2010/9/15,0.004953982,0.009143674,0.021137123,0.008947334,0.026196983,0.001600213,-0.011993449,-0.007290032,0.049280395,0.000200701,-0.007406681,-0.000200057,0,0.001000183,0.00020005
2010/12/15,0.010065285,0.019553561,0.019331057,0.116431699,0.027100976,0.00120012,0.000222504,0.010409887,0.107484365,-0.001806066,-0.009208337,-0.000400093,-0.00060015,-0.000400093,0.00060009
2011/3/15,0.011674952,0.023938079,0.018528535,0.083129503,0.035725837,0.000900068,0.005409544,0.004384518,-0.033302196,-0.000802522,0.001287474,-0.000300052,-0.000700145,-0.000900202,-0.000700145
2011/6/15,0.007890749,0.009768959,0.019933019,0.006292438,0.030909275,0.000300008,-0.01016406,-0.01416912,-0.076837065,0.001404484,0.004712292,-0.00060006,-0.000900112,-0.001300205,-0.001500262
2011/9/15,0.007966869,0.007131322,0.022140726,-0.083777719,0.021327794,0.000200003,-0.015009404,-0.002637637,-0.090070157,0.002207707,-0.005773182,-0.000100005,-0.000700065,-0.001000117,-0.00140021
2011/12/15,0.002762614,0.009478566,0.022040358,0.03334385,0.020244056,0.000200003,-0.012561792,0.002347244,0.117121569,-0.000100368,-0.015481781,0,-0.000100005,-0.000700065,-0.001000117
2012/3/15,0.007354009,0.020219115,0.020836074,0.104059201,0.020103586,0.000700041,-0.000616959,0.010740549,0.070715351,-0.001204284,-0.010805689,0.000500038,0.000500038,0.000400033,-0.000200027
2012/6/15,-0.001695108,0.006642512,0.02344566,-0.069900807,0.017074237,0.000900068,-0.016803148,-0.013576603,-0.173960008,0.002609586,-0.004253557,0.000200027,0.000700065,0.000700065,0.00060006
2012/9/15,0.010857483,0.008607917,0.022542214,0.100575882,0.016161718,0.001000083,-0.013934297,0.001965405,0.170476689,-0.000903446,-0.004082338,0.000100015,0.000300042,0.00080008,0.00080008
2012/12/15,0.001233836,0.047845964,0.022943729,0.00204752,0.016282042,0.000500021,0.024902235,0.039238047,-0.098528362,0.000401515,-0.003821544,-0.000500062,-0.000400047,-0.00020002,0.000300018
2013/3/15,0.004501193,-0.047678641,0.022241095,0.077150114,0.01977249,0.000700041,-0.069919736,-0.095524605,0.075102594,-0.000702634,0.002698253,0.00020002,-0.000300042,-0.000200027,0
2013/6/15,0.0001894,0.011468005,0.02133783,0.080503228,0.018147375,0.000400013,-0.009869825,0.059146646,0.003353114,-0.000903265,0.001985657,-0.000300028,-0.000100008,-0.00060007,-0.000500055
2013/9/15,0.005530283,0.007348034,0.021939992,-0.00454152,0.025604439,0.000200003,-0.014591958,-0.004119971,-0.085044748,0.000602162,0.009322397,-0.00020001,-0.000500038,-0.000300018,-0.00080008
2013/12/15,0.005157463,0.007400151,0.020234022,0.102837162,0.027683621,0.000700041,-0.012833871,0.000052117,0.107378682,-0.00170597,0.007911131,0.000500038,0.000300028,0,0.00020002
2014/3/15,0.004470996,0.02057521,0.020535041,0.024893109,0.027221519,0.000500021,4.0169E-05,0.013175059,-0.077944053,0.000301019,0.009074144,-0.00020002,0.000300018,0.000100008,-0.00020002
2014/6/15,0.004743596,0.014402248,0.0204347,0.042931523,0.025122412,0.000400013,-0.006032452,-0.006172962,0.018038414,-0.000100341,-0.000482027,-0.000100008,-0.000300028,0.00020001,0
2014/9/15,0.002084247,0.012670546,0.020033352,0.040727907,0.023736799,0.000200003,-0.007362806,-0.001731702,-0.002203616,-0.000401348,-0.003946822,-0.00020001,-0.000300018,-0.000500038,0
2014/12/15,-0.004404025,0.010169763,0.019832688,0.024992887,0.022481989,0.000400013,-0.009662925,-0.002500783,-0.01573502,-0.000200664,-0.00473953,0.00020001,0,-0.000100008,-0.000300028
2015/3/15,-0.002558529,0.005449861,0.019832688,0.031142863,0.020193888,0.000300008,-0.014382827,-0.004719902,0.006149976,0,-0.004928524,-0.000100005,0.000100005,-0.000100005,-0.000200013
2015/6/15,0.00663108,0.016339805,0.020535041,-0.002673102,0.021398043,0.000100001,-0.004195236,0.010889944,-0.033815965,0.000702353,-0.002338756,-0.000200007,-0.000300012,-0.000100002,-0.000300012
2015/9/15,0.000277985,0.00764099,0.022943729,-0.093705161,0.020324326,-1.00E-04,-0.015302739,-0.008698815,-0.091032059,0.002408688,-0.002157663,-0.0002,-0.000400007,-0.000500012,-0.000300002
2015/12/15,0.002324318,0.009642403,0.021237475,0.098638869,0.022331429,0.001600213,-0.011595072,0.002001413,0.19234403,-0.001706254,0.002137541,0.001700212,0.001500212,0.001300205,0.0012002
2016/3/15,-0.000508316,0.001741042,0.02264259,-0.059106928,0.016592891,0.002100368,-0.020901548,-0.007901361,-0.157745797,0.001405115,-0.004805152,0.000500155,0.002200367,0.002000367,0.00180036
2016/6/15,0.008435609,0.007478544,0.021638903,0.06115197,0.016602919,0.002600563,-0.014160359,0.005737502,0.120258898,-0.001003687,-0.003721407,0.000500195,0.00100035,0.002700562,0.002500562
